tcode,description,module,status,replacement,replacement_type,sap_reference,delta_note,review_status,source_item,source_page
CBP1,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP2,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP3,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP4,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP5,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP6,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP7,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBPRO,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBPV,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CBP_SOP_PLAN_SAVE,,CROSS,replaced,,none,"S4TWL - External Interfaces in PP (S4TWL item 3.1.6, SAP Note 2268048)",,pending,3.1.6,40
CC04,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CC31,,PLM,deleted,,none,"S4TWL - Engineering Change Management ECR/ECO (S4TWL item 10.4.29, SAP Note 2267918)",,pending,10.4.29,951
CC32,,PLM,deleted,,none,"S4TWL - Engineering Change Management ECR/ECO (S4TWL item 10.4.29, SAP Note 2267918)",,pending,10.4.29,951
CC33,,PLM,deleted,,none,"S4TWL - Engineering Change Management ECR/ECO (S4TWL item 10.4.29, SAP Note 2267918)",,pending,10.4.29,951
CC62,,PLM,deleted,,none,"S4TWL - Engineering Change Management ECR/ECO (S4TWL item 10.4.29, SAP Note 2267918)",,pending,10.4.29,951
CCSEQ_CSGUPD,,PLM,deleted,,none,"S4TWL - Engineering Change Management Change Sequence Graph (S4TWL item 10.4.19, SAP Note 2267920)",,pending,10.4.19,941
CCSEQ_CUST,,PLM,deleted,,none,"S4TWL - Engineering Change Management Change Sequence Graph (S4TWL item 10.4.19, SAP Note 2267920)",,pending,10.4.19,941
CCSEQ_CYCLE,,PLM,deleted,,none,"S4TWL - Engineering Change Management Change Sequence Graph (S4TWL item 10.4.19, SAP Note 2267920)",,pending,10.4.19,941
CE01,,PLM,deleted,,none,"S4TWL - Collaborative Engineering (S4TWL item 10.4.27, SAP Note 2268017)",,pending,10.4.27,950
CE02,,PLM,deleted,,none,"S4TWL - Collaborative Engineering (S4TWL item 10.4.27, SAP Note 2268017)",,pending,10.4.27,950
CE03,,PLM,deleted,,none,"S4TWL - Collaborative Engineering (S4TWL item 10.4.27, SAP Note 2268017)",,pending,10.4.27,950
CEP_R3_MON,,PLM,deleted,,none,"S4TWL - Collaborative Engineering (S4TWL item 10.4.27, SAP Note 2268017)",,pending,10.4.27,950
CFC01,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFC02,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFE01,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFE02,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFE03,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFI01,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFI02,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CFI03,,PLM,deleted,,none,"S4TWL - cFolders (S4TWL item 10.4.3, SAP Note 2267845)",,pending,10.4.3,921
CIC0,,CS,deleted,,none,"S4TWL - Customer Interaction Center (CIC) (S4TWL item 12.2.1, SAP Note 2267412)",,pending,12.2.1,1026
CL20,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL20N,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL22,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL22N,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL24,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL24N,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL6E,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL6F,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
CL6G,,PLM,deleted,,none,"S4TWL - Classification (S4TWL item 10.4.9, SAP Note 2267878)",,pending,10.4.9,927
